submitted_at,bytes,delay,activity,dst-rse,dst-type,protocol,src-rse,src-type,transfer-endpoint,duration,prediction
2017-06-17 22:10:46,4573484070,9547,T0 Export,UKI-SOUTHGRID-RALPP_DATADISK,DISK,srm,CERN-PROD_TZDISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,249,390.7769775390625
2017-06-17 22:40:59,1302202,8630,Production Input,INFN-T1_DATADISK,DISK,srm,CERN-PROD_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,4,45.61708450317383
2017-06-17 22:41:00,265511,8838,Production Input,INFN-T1_DATADISK,DISK,srm,CERN-PROD_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,6,34.692317962646484
2017-06-17 22:44:06,9178440,7828,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,16,38.270267486572266
2017-06-17 22:44:06,83275736,8230,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,19,38.22572708129883
2017-06-17 22:44:06,151022080,7633,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,34,38.21205520629883
2017-06-17 22:44:06,100062856,7687,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,40,37.1410026550293
2017-06-17 22:44:06,48297948,8296,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,13,37.06572341918945
2017-06-17 22:44:06,200206784,8280,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,58,37.64665222167969
2017-06-17 22:44:06,137329216,8299,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,62,35.78702163696289
2017-06-17 22:44:06,9592472,8230,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,12,29.955839157104492
2017-06-17 22:44:06,177539372,7426,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,62,30.19278335571289
2017-06-17 22:44:08,157632080,8298,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,44,30.167675018310547
2017-06-17 22:44:08,16641020,8435,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,14,30.085628509521484
2017-06-17 22:44:08,164220712,8297,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,21,30.20123291015625
2017-06-17 22:44:08,69340224,8299,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,18,30.123157501220703
2017-06-17 22:44:09,2633525,7278,User Subscriptions,INFN-T1_SCRATCHDISK,DISK,srm,CERN-PROD_SCRATCHDISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,5,29.53074836730957
2017-06-17 22:44:11,133745812,8592,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,26,30.190120697021484
2017-06-17 22:44:11,151676120,8367,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,28,28.13655662536621
2017-06-17 22:44:11,142520016,8202,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,21,28.30672836303711
2017-06-17 22:44:11,141855544,8277,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,28,27.857532501220703
2017-06-17 22:44:11,141341252,8312,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,38,28.315412521362305
2017-06-17 22:44:11,188258588,8086,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,34,28.818559646606445
2017-06-17 22:44:11,17406108,8202,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,14,28.228565216064453
2017-06-17 22:44:11,85575920,8433,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,22,28.820587158203125
2017-06-17 22:44:11,107199168,8263,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,22,28.62611198425293
2017-06-17 22:44:11,112930096,8277,Data Consolidation,RAL-LCG2_DATATAPE,TAPE,srm,MWT2_DATADISK,DISK,https://fts3-test.gridpp.rl.ac.uk:8446,31,28.66385269165039
