,Unnamed: 0,account,activity,bytes,checksum-adler,checksum-md5,dst-rse,dst-type,dst-url,duration,guid,name,previous-request-id,protocol,reason,request-id,scope,src-rse,src-type,src-url,started_at,submitted_at,tool-id,transfer-endpoint,transfer-id,transfer-link,transferred_at
0,0,,T0 Tape,204114256,2ff0696a,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0204._SFO-2._0002.1,20,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0204._SFO-2._0002.1,,srm,,68a948d6941f45dfbf46c84ec30ad2e9,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0204._SFO-2._0002.1,2017-06-18 00:38:18,2017-06-18 00:33:42,rucio-conveyor,https://fts3.cern.ch:8446,77abcf58-324a-5fa4-ad8f-1c41e988b8e2,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/77abcf58-324a-5fa4-ad8f-1c41e988b8e2,2017-06-18 00:38:38
1,1,,T0 Tape,2622384888,cb5a4030,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_CostMonitoring/00327057/data17_13TeV.00327057.calibration_CostMonitoring.daq.RAW/data17_13TeV.00327057.calibration_CostMonitoring.daq.RAW._lb0000._SFO-6._0026.data,153,,data17_13TeV.00327057.calibration_CostMonitoring.daq.RAW._lb0000._SFO-6._0026.data,,srm,,3c0e8475dae944d1b4d588b008ddb1c1,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_CostMonitoring/00327057/data17_13TeV.00327057.calibration_CostMonitoring.daq.RAW/data17_13TeV.00327057.calibration_CostMonitoring.daq.RAW._lb0000._SFO-6._0026.data,2017-06-18 00:51:56,2017-06-18 00:51:47,rucio-conveyor,https://fts3.cern.ch:8446,d81591b5-7673-5c54-8920-6e2035e57abf,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/d81591b5-7673-5c54-8920-6e2035e57abf,2017-06-18 00:54:29
2,2,,T0 Tape,2622187888,531429f9,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_VdM/00327057/data17_13TeV.00327057.calibration_VdM.daq.RAW/data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0339._SFO-7._0001.data,81,,data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0339._SFO-7._0001.data,,srm,,910915c65e6540629bebdf5f483bb60d,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_VdM/00327057/data17_13TeV.00327057.calibration_VdM.daq.RAW/data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0339._SFO-7._0001.data,2017-06-18 00:36:40,2017-06-18 00:34:11,rucio-conveyor,https://fts3.cern.ch:8446,7fb4b833-7359-5ce3-ac05-d72b1241f5b4,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/7fb4b833-7359-5ce3-ac05-d72b1241f5b4,2017-06-18 00:38:01
3,3,,Data Rebalancing,4389260,3a8e522e,,NET2_DATADISK,DISK,srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/atlasdatadisk/rucio/mc15_13TeV/51/6b/log.11330043._025535.job.log.tgz.1,8,,log.11330043._025535.job.log.tgz.1,,srm,,99f81eb666a64bbf98533edb0d8a8782,mc15_13TeV,UKI-LT2-IC-HEP_DATADISK,DISK,srm://gfe02.grid.hep.ph.ic.ac.uk:8443/srm/managerv2?SFN=/pnfs/hep.ph.ic.ac.uk/data/atlas/atlasdatadisk/rucio/mc15_13TeV/51/6b/log.11330043._025535.job.log.tgz.1,2017-06-18 00:32:18,2017-06-18 00:32:14,rucio-conveyor,https://fts.usatlas.bnl.gov:8446,b16562b2-127b-5a9b-b1f0-f692cacba779,https://fts.usatlas.bnl.gov:8449/fts3/ftsmon/#/job/b16562b2-127b-5a9b-b1f0-f692cacba779,2017-06-18 00:32:26
4,4,,T0 Tape,196303548,c9c6899d,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0207._SFO-8._0002.1,11,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0207._SFO-8._0002.1,,srm,,d1002129f0a345f5891fd2fd334ee4d8,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0207._SFO-8._0002.1,2017-06-18 00:36:05,2017-06-18 00:33:42,rucio-conveyor,https://fts3.cern.ch:8446,77abcf58-324a-5fa4-ad8f-1c41e988b8e2,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/77abcf58-324a-5fa4-ad8f-1c41e988b8e2,2017-06-18 00:36:16
5,5,,T0 Tape,2622041984,9f6dbbb1,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0189._SFO-6._0001.1,48,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0189._SFO-6._0001.1,,srm,,b0697fd60e834d33a080c5e5d5c2069f,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0189._SFO-6._0001.1,2017-06-18 00:37:02,2017-06-18 00:33:42,rucio-conveyor,https://fts3.cern.ch:8446,77abcf58-324a-5fa4-ad8f-1c41e988b8e2,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/77abcf58-324a-5fa4-ad8f-1c41e988b8e2,2017-06-18 00:37:50
6,6,,T0 Tape,2578635244,f398a0c5,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0330._SFO-7._0001.1,32,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0330._SFO-7._0001.1,,srm,,8120066f265e4ea2a5dd3e0c6e656632,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0330._SFO-7._0001.1,2017-06-18 00:35:17,2017-06-18 00:33:42,rucio-conveyor,https://fts3.cern.ch:8446,77abcf58-324a-5fa4-ad8f-1c41e988b8e2,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/77abcf58-324a-5fa4-ad8f-1c41e988b8e2,2017-06-18 00:35:49
7,7,,T0 Tape,165239572,777dbfa0,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0213._SFO-1._0002.1,17,,data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0213._SFO-1._0002.1,,srm,,82424ec3c1724341bbdff5098c0bcca5,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_PixelBeam/00327057/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW/data17_13TeV.00327057.calibration_PixelBeam.merge.RAW._lb0213._SFO-1._0002.1,2017-06-18 00:38:36,2017-06-18 00:33:42,rucio-conveyor,https://fts3.cern.ch:8446,77abcf58-324a-5fa4-ad8f-1c41e988b8e2,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/77abcf58-324a-5fa4-ad8f-1c41e988b8e2,2017-06-18 00:38:53
8,8,,T0 Tape,2622179672,e1798ae0,,CERN-PROD_RAW,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/raw/data17_13TeV/calibration_VdM/00327057/data17_13TeV.00327057.calibration_VdM.daq.RAW/data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0341._SFO-6._0001.data,101,,data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0341._SFO-6._0001.data,,srm,,10e087d797b94b51a5230efcb5e6eef6,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/calibration_VdM/00327057/data17_13TeV.00327057.calibration_VdM.daq.RAW/data17_13TeV.00327057.calibration_VdM.daq.RAW._lb0341._SFO-6._0001.data,2017-06-18 00:37:17,2017-06-18 00:34:11,rucio-conveyor,https://fts3.cern.ch:8446,7fb4b833-7359-5ce3-ac05-d72b1241f5b4,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/7fb4b833-7359-5ce3-ac05-d72b1241f5b4,2017-06-18 00:38:58
9,9,,T0 Tape,1276256946,586331f6,,CERN-PROD_DERIVED,TAPE,srm://srm-atlas.cern.ch:8443/srm/managerv2?SFN=/castor/cern.ch/grid/atlas/rucio/derived/data17_13TeV/physics_Main/00325558/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0367.1,20,,data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0367.1,,srm,,23d358548f0a4690953d1b4d5656abe2,data17_13TeV,CERN-PROD_TZDISK,DISK,gsiftp://eosatlassftp.cern.ch:2811/eos/atlas/atlastier0/rucio/data17_13TeV/physics_Main/00325558/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816/data17_13TeV.00325558.physics_Main.merge.DESDM_MCP.f831_m1816._0367.1,2017-06-18 00:34:15,2017-06-18 00:33:41,rucio-conveyor,https://fts3.cern.ch:8446,71969e62-e4ff-562e-a923-802399b6cd7f,https://fts3.cern.ch:8449/fts3/ftsmon/#/job/71969e62-e4ff-562e-a923-802399b6cd7f,2017-06-18 00:34:35
